main start at this time 1666119723.799925
ogbn-arxiv
# Nodes: 169343
# Edges: 2315598
# Train: 90941
# Val: 29799
# Test: 48603
# Classes: 40

in feats:  128
Run 00 | Epoch 00000 | Loss 3.8570 | Train 0.0592 | Val 0.0440 | Test 0.0431
Run 00 | Epoch 00001 | Loss 3.5328 | Train 0.1090 | Val 0.0770 | Test 0.0844
Run 00 | Epoch 00002 | Loss 3.3077 | Train 0.1379 | Val 0.0838 | Test 0.0832
Run 00 | Epoch 00003 | Loss 3.1631 | Train 0.1665 | Val 0.0832 | Test 0.0727
Run 00 | Epoch 00004 | Loss 3.0679 | Train 0.1764 | Val 0.0792 | Test 0.0624
Run 00 | Epoch 00005 | Loss 2.9976 | Train 0.1786 | Val 0.0772 | Test 0.0594
Run 00 | Epoch 00006 | Loss 2.9413 | Train 0.1796 | Val 0.0776 | Test 0.0595
Run 00 | Epoch 00007 | Loss 2.8932 | Train 0.1833 | Val 0.0831 | Test 0.0646
Run 00 | Epoch 00008 | Loss 2.8498 | Train 0.2011 | Val 0.1203 | Test 0.0959
Run 00 | Epoch 00009 | Loss 2.8090 | Train 0.2320 | Val 0.1968 | Test 0.1669
Run 00 | Epoch 00010 | Loss 2.7691 | Train 0.2522 | Val 0.2550 | Test 0.2254
Run 00 | Epoch 00011 | Loss 2.7283 | Train 0.2606 | Val 0.2777 | Test 0.2483
Run 00 | Epoch 00012 | Loss 2.6862 | Train 0.2660 | Val 0.2884 | Test 0.2578
Run 00 | Epoch 00013 | Loss 2.6434 | Train 0.2768 | Val 0.2985 | Test 0.2670
Run 00 | Epoch 00014 | Loss 2.6013 | Train 0.2954 | Val 0.3135 | Test 0.2828
Run 00 | Epoch 00015 | Loss 2.5615 | Train 0.3194 | Val 0.3349 | Test 0.3083
Run 00 | Epoch 00016 | Loss 2.5234 | Train 0.3428 | Val 0.3562 | Test 0.3410
Run 00 | Epoch 00017 | Loss 2.4868 | Train 0.3600 | Val 0.3754 | Test 0.3685
Run 00 | Epoch 00018 | Loss 2.4511 | Train 0.3719 | Val 0.3858 | Test 0.3861
Run 00 | Epoch 00019 | Loss 2.4164 | Train 0.3781 | Val 0.3923 | Test 0.3942
Run 00 | Epoch 00020 | Loss 2.3824 | Train 0.3822 | Val 0.3947 | Test 0.3958
Run 00 | Epoch 00021 | Loss 2.3490 | Train 0.3845 | Val 0.3966 | Test 0.3944
Run 00 | Epoch 00022 | Loss 2.3166 | Train 0.3857 | Val 0.3983 | Test 0.3917
Run 00 | Epoch 00023 | Loss 2.2858 | Train 0.3872 | Val 0.4003 | Test 0.3884
Run 00 | Epoch 00024 | Loss 2.2560 | Train 0.3894 | Val 0.4038 | Test 0.3875
Run 00 | Epoch 00025 | Loss 2.2277 | Train 0.3947 | Val 0.4079 | Test 0.3899
Run 00 | Epoch 00026 | Loss 2.2001 | Train 0.4020 | Val 0.4143 | Test 0.3964
Run 00 | Epoch 00027 | Loss 2.1736 | Train 0.4117 | Val 0.4226 | Test 0.4049
Run 00 | Epoch 00028 | Loss 2.1477 | Train 0.4221 | Val 0.4322 | Test 0.4145
Run 00 | Epoch 00029 | Loss 2.1228 | Train 0.4331 | Val 0.4443 | Test 0.4249
Run 00 | Epoch 00030 | Loss 2.0989 | Train 0.4443 | Val 0.4545 | Test 0.4373
Run 00 | Epoch 00031 | Loss 2.0762 | Train 0.4549 | Val 0.4648 | Test 0.4496
Run 00 | Epoch 00032 | Loss 2.0546 | Train 0.4641 | Val 0.4753 | Test 0.4622
Run 00 | Epoch 00033 | Loss 2.0337 | Train 0.4720 | Val 0.4846 | Test 0.4736
Run 00 | Epoch 00034 | Loss 2.0140 | Train 0.4803 | Val 0.4940 | Test 0.4836
Run 00 | Epoch 00035 | Loss 1.9947 | Train 0.4872 | Val 0.5009 | Test 0.4920
Run 00 | Epoch 00036 | Loss 1.9758 | Train 0.4926 | Val 0.5070 | Test 0.4987
Run 00 | Epoch 00037 | Loss 1.9571 | Train 0.4972 | Val 0.5112 | Test 0.5035
Run 00 | Epoch 00038 | Loss 1.9389 | Train 0.5007 | Val 0.5143 | Test 0.5062
Run 00 | Epoch 00039 | Loss 1.9218 | Train 0.5032 | Val 0.5169 | Test 0.5086
Run 00 | Epoch 00040 | Loss 1.9046 | Train 0.5054 | Val 0.5181 | Test 0.5109
Run 00 | Epoch 00041 | Loss 1.8886 | Train 0.5078 | Val 0.5198 | Test 0.5124
Run 00 | Epoch 00042 | Loss 1.8731 | Train 0.5096 | Val 0.5216 | Test 0.5143
Run 00 | Epoch 00043 | Loss 1.8583 | Train 0.5116 | Val 0.5232 | Test 0.5167
Run 00 | Epoch 00044 | Loss 1.8441 | Train 0.5137 | Val 0.5242 | Test 0.5189
Run 00 | Epoch 00045 | Loss 1.8303 | Train 0.5163 | Val 0.5269 | Test 0.5216
Run 00 | Epoch 00046 | Loss 1.8169 | Train 0.5194 | Val 0.5295 | Test 0.5241
Run 00 | Epoch 00047 | Loss 1.8041 | Train 0.5224 | Val 0.5324 | Test 0.5276
Run 00 | Epoch 00048 | Loss 1.7917 | Train 0.5254 | Val 0.5355 | Test 0.5298
Run 00 | Epoch 00049 | Loss 1.7796 | Train 0.5288 | Val 0.5384 | Test 0.5327
Run 00 | Epoch 00050 | Loss 1.7675 | Train 0.5318 | Val 0.5415 | Test 0.5354
Run 00 | Epoch 00051 | Loss 1.7562 | Train 0.5349 | Val 0.5436 | Test 0.5382
Run 00 | Epoch 00052 | Loss 1.7453 | Train 0.5379 | Val 0.5456 | Test 0.5403
Run 00 | Epoch 00053 | Loss 1.7349 | Train 0.5409 | Val 0.5482 | Test 0.5422
Run 00 | Epoch 00054 | Loss 1.7243 | Train 0.5436 | Val 0.5505 | Test 0.5438
