main start at this time 1665982890.242594
-----------------------------------------before load data 
 Nvidia-smi: 0.30712890625 GB
    Memory Allocated: 0.0  GigaBytes
Max Memory Allocated: 0.0  GigaBytes

#nodes: 2449029
#edges: 123718024
#classes: 47
success----------------------------------------
196571
39255
2164782
# Nodes: 2400608
# Edges: 123718024
# Train: 196571
# Val: 39255
# Test: 2164782
# Classes: 47

in feats:  100
========    -------- the batch size current is  196571
Run 00 | Epoch 00000 | Loss 5.2015 | Train 0.0172 | Val 0.0160 | Test 0.0211
Run 00 | Epoch 00001 | Loss 5.1076 | Train 0.0207 | Val 0.0192 | Test 0.0236
Run 00 | Epoch 00002 | Loss 5.0237 | Train 0.0254 | Val 0.0247 | Test 0.0267
Run 00 | Epoch 00003 | Loss 4.9233 | Train 0.0311 | Val 0.0304 | Test 0.0303
Run 00 | Epoch 00004 | Loss 4.8310 | Train 0.0383 | Val 0.0374 | Test 0.0347
Run 00 | Epoch 00005 | Loss 4.7478 | Train 0.0465 | Val 0.0446 | Test 0.0397
Run 00 | Epoch 00006 | Loss 4.6544 | Train 0.0561 | Val 0.0534 | Test 0.0455
Run 00 | Epoch 00007 | Loss 4.5699 | Train 0.0664 | Val 0.0622 | Test 0.0518
Run 00 | Epoch 00008 | Loss 4.4843 | Train 0.0778 | Val 0.0726 | Test 0.0590
Run 00 | Epoch 00009 | Loss 4.4053 | Train 0.0904 | Val 0.0820 | Test 0.0665
Run 00 | Epoch 00010 | Loss 4.3288 | Train 0.1032 | Val 0.0936 | Test 0.0747
Run 00 | Epoch 00011 | Loss 4.2502 | Train 0.1172 | Val 0.1065 | Test 0.0834
Run 00 | Epoch 00012 | Loss 4.1737 | Train 0.1320 | Val 0.1207 | Test 0.0927
Run 00 | Epoch 00013 | Loss 4.0981 | Train 0.1470 | Val 0.1347 | Test 0.1023
Run 00 | Epoch 00014 | Loss 4.0275 | Train 0.1618 | Val 0.1502 | Test 0.1120
