main start at this time 1666029218.0691545
-----------------------------------------before load data 
 Nvidia-smi: 0.30712890625 GB
    Memory Allocated: 0.0  GigaBytes
Max Memory Allocated: 0.0  GigaBytes

#nodes: 2449029
#edges: 123718024
#classes: 47
success----------------------------------------
196571
39255
2164782
# Nodes: 2400608
# Edges: 123718024
# Train: 196571
# Val: 39255
# Test: 2164782
# Classes: 47

in feats:  100
========    -------- the batch size current is  12289
Run 00 | Epoch 00000 | Loss 3.5464 | Train 0.0886 | Val 0.0837 | Test 0.0702
Run 00 | Epoch 00001 | Loss 2.6349 | Train 0.2581 | Val 0.2477 | Test 0.1805
Run 00 | Epoch 00002 | Loss 2.1717 | Train 0.4074 | Val 0.3971 | Test 0.2889
Run 00 | Epoch 00003 | Loss 1.7878 | Train 0.5177 | Val 0.5067 | Test 0.3706
Run 00 | Epoch 00004 | Loss 1.5007 | Train 0.5839 | Val 0.5737 | Test 0.4278
Run 00 | Epoch 00005 | Loss 1.2188 | Train 0.6109 | Val 0.6028 | Test 0.4564
Run 00 | Epoch 00006 | Loss 1.0541 | Train 0.6313 | Val 0.6242 | Test 0.4777
Run 00 | Epoch 00007 | Loss 0.9497 | Train 0.6517 | Val 0.6478 | Test 0.4966
Run 00 | Epoch 00008 | Loss 0.8575 | Train 0.6692 | Val 0.6662 | Test 0.5123
Run 00 | Epoch 00009 | Loss 0.7974 | Train 0.6830 | Val 0.6785 | Test 0.5238
Run 00 | Epoch 00010 | Loss 0.7255 | Train 0.6909 | Val 0.6856 | Test 0.5306
Run 00 | Epoch 00011 | Loss 0.7116 | Train 0.7000 | Val 0.6945 | Test 0.5374
Run 00 | Epoch 00012 | Loss 0.6651 | Train 0.7087 | Val 0.7040 | Test 0.5438
Run 00 | Epoch 00013 | Loss 0.6551 | Train 0.7145 | Val 0.7098 | Test 0.5486
Run 00 | Epoch 00014 | Loss 0.6201 | Train 0.7152 | Val 0.7103 | Test 0.5497
Run 00 | Epoch 00015 | Loss 0.6149 | Train 0.7166 | Val 0.7130 | Test 0.5517
Run 00 | Epoch 00016 | Loss 0.5983 | Train 0.7196 | Val 0.7157 | Test 0.5545
Run 00 | Epoch 00017 | Loss 0.5683 | Train 0.7214 | Val 0.7190 | Test 0.5571
Run 00 | Epoch 00018 | Loss 0.5734 | Train 0.7217 | Val 0.7191 | Test 0.5578
Run 00 | Epoch 00019 | Loss 0.5627 | Train 0.7217 | Val 0.7187 | Test 0.5579
Run 00 | Epoch 00020 | Loss 0.5720 | Train 0.7207 | Val 0.7182 | Test 0.5578
Run 00 | Epoch 00021 | Loss 0.5606 | Train 0.7182 | Val 0.7151 | Test 0.5566
Run 00 | Epoch 00022 | Loss 0.5556 | Train 0.7160 | Val 0.7128 | Test 0.5561
Run 00 | Epoch 00023 | Loss 0.5295 | Train 0.7108 | Val 0.7073 | Test 0.5524
