main start at this time 1665549018.3637514
-----------------------------------------before load data 
 Nvidia-smi: 0.30712890625 GB
    Memory Allocated: 0.0  GigaBytes
Max Memory Allocated: 0.0  GigaBytes

#nodes: 2449029
#edges: 123718024
#classes: 47
success----------------------------------------
196571
39255
2164782
# Nodes: 2400608
# Edges: 123718024
# Train: 196571
# Val: 39255
# Test: 2164782
# Classes: 47

in feats:  100
Run 00 | Epoch 00000 | Loss 9.1380 | Train 0.0113 | Val 0.0121 | Test 0.0191
Run 00 | Epoch 00001 | Loss 8.3082 | Train 0.0126 | Val 0.0134 | Test 0.0201
Run 00 | Epoch 00002 | Loss 7.5276 | Train 0.0142 | Val 0.0152 | Test 0.0213
Run 00 | Epoch 00003 | Loss 6.9174 | Train 0.0166 | Val 0.0176 | Test 0.0227
Run 00 | Epoch 00004 | Loss 6.3638 | Train 0.0193 | Val 0.0201 | Test 0.0246
Run 00 | Epoch 00005 | Loss 5.8482 | Train 0.0230 | Val 0.0232 | Test 0.0268
Run 00 | Epoch 00006 | Loss 5.4294 | Train 0.0274 | Val 0.0273 | Test 0.0295
Run 00 | Epoch 00007 | Loss 5.0680 | Train 0.0325 | Val 0.0319 | Test 0.0329
Run 00 | Epoch 00008 | Loss 4.7255 | Train 0.0384 | Val 0.0380 | Test 0.0367
Run 00 | Epoch 00009 | Loss 4.4749 | Train 0.0449 | Val 0.0440 | Test 0.0411
Run 00 | Epoch 00010 | Loss 4.2301 | Train 0.0523 | Val 0.0501 | Test 0.0460
Run 00 | Epoch 00011 | Loss 4.0303 | Train 0.0603 | Val 0.0570 | Test 0.0511
Run 00 | Epoch 00012 | Loss 3.8716 | Train 0.0685 | Val 0.0642 | Test 0.0565
Run 00 | Epoch 00013 | Loss 3.7162 | Train 0.0768 | Val 0.0719 | Test 0.0618
Run 00 | Epoch 00014 | Loss 3.5961 | Train 0.0849 | Val 0.0798 | Test 0.0673
Run 00 | Epoch 00015 | Loss 3.4641 | Train 0.0931 | Val 0.0878 | Test 0.0728
Run 00 | Epoch 00016 | Loss 3.3856 | Train 0.1018 | Val 0.0961 | Test 0.0785
Run 00 | Epoch 00017 | Loss 3.2842 | Train 0.1109 | Val 0.1041 | Test 0.0843
Run 00 | Epoch 00018 | Loss 3.1974 | Train 0.1206 | Val 0.1136 | Test 0.0904
Run 00 | Epoch 00019 | Loss 3.1122 | Train 0.1303 | Val 0.1237 | Test 0.0967
Run 00 | Epoch 00020 | Loss 3.0613 | Train 0.1404 | Val 0.1336 | Test 0.1034
Run 00 | Epoch 00021 | Loss 2.9827 | Train 0.1515 | Val 0.1446 | Test 0.1103
Run 00 | Epoch 00022 | Loss 2.9253 | Train 0.1631 | Val 0.1551 | Test 0.1175
Run 00 | Epoch 00023 | Loss 2.8667 | Train 0.1754 | Val 0.1668 | Test 0.1251
Run 00 | Epoch 00024 | Loss 2.8278 | Train 0.1884 | Val 0.1783 | Test 0.1332
Run 00 | Epoch 00025 | Loss 2.7737 | Train 0.2014 | Val 0.1910 | Test 0.1417
Run 00 | Epoch 00026 | Loss 2.7400 | Train 0.2147 | Val 0.2042 | Test 0.1504
Run 00 | Epoch 00027 | Loss 2.6825 | Train 0.2282 | Val 0.2168 | Test 0.1592
Run 00 | Epoch 00028 | Loss 2.6550 | Train 0.2419 | Val 0.2303 | Test 0.1682
Run 00 | Epoch 00029 | Loss 2.6181 | Train 0.2548 | Val 0.2435 | Test 0.1773
Run 00 | Epoch 00030 | Loss 2.5840 | Train 0.2681 | Val 0.2558 | Test 0.1862
Run 00 | Epoch 00031 | Loss 2.5414 | Train 0.2802 | Val 0.2693 | Test 0.1950
Run 00 | Epoch 00032 | Loss 2.5075 | Train 0.2924 | Val 0.2815 | Test 0.2036
Run 00 | Epoch 00033 | Loss 2.4829 | Train 0.3046 | Val 0.2928 | Test 0.2119
Run 00 | Epoch 00034 | Loss 2.4444 | Train 0.3155 | Val 0.3031 | Test 0.2200
Run 00 | Epoch 00035 | Loss 2.4148 | Train 0.3267 | Val 0.3148 | Test 0.2277
Run 00 | Epoch 00036 | Loss 2.3855 | Train 0.3370 | Val 0.3253 | Test 0.2352
Run 00 | Epoch 00037 | Loss 2.3566 | Train 0.3470 | Val 0.3347 | Test 0.2424
Run 00 | Epoch 00038 | Loss 2.3311 | Train 0.3567 | Val 0.3447 | Test 0.2494
Run 00 | Epoch 00039 | Loss 2.2986 | Train 0.3660 | Val 0.3539 | Test 0.2562
Run 00 | Epoch 00040 | Loss 2.2713 | Train 0.3752 | Val 0.3643 | Test 0.2628
Run 00 | Epoch 00041 | Loss 2.2443 | Train 0.3839 | Val 0.3729 | Test 0.2692
Run 00 | Epoch 00042 | Loss 2.2025 | Train 0.3923 | Val 0.3816 | Test 0.2756
Run 00 | Epoch 00043 | Loss 2.1880 | Train 0.4006 | Val 0.3900 | Test 0.2818
Run 00 | Epoch 00044 | Loss 2.1592 | Train 0.4087 | Val 0.3980 | Test 0.2878
Run 00 | Epoch 00045 | Loss 2.1330 | Train 0.4167 | Val 0.4062 | Test 0.2936
Run 00 | Epoch 00046 | Loss 2.0989 | Train 0.4240 | Val 0.4133 | Test 0.2992
Run 00 | Epoch 00047 | Loss 2.0768 | Train 0.4313 | Val 0.4206 | Test 0.3047
Run 00 | Epoch 00048 | Loss 2.0481 | Train 0.4382 | Val 0.4272 | Test 0.3102
Run 00 | Epoch 00049 | Loss 2.0224 | Train 0.4456 | Val 0.4340 | Test 0.3156
Run 00 | Epoch 00050 | Loss 1.9972 | Train 0.4525 | Val 0.4410 | Test 0.3209
Run 00 | Epoch 00051 | Loss 1.9739 | Train 0.4593 | Val 0.4480 | Test 0.3261
Run 00 | Epoch 00052 | Loss 1.9487 | Train 0.4658 | Val 0.4557 | Test 0.3313
Run 00 | Epoch 00053 | Loss 1.9214 | Train 0.4727 | Val 0.4623 | Test 0.3365
Run 00 | Epoch 00054 | Loss 1.8995 | Train 0.4794 | Val 0.4695 | Test 0.3417
Run 00 | Epoch 00055 | Loss 1.8662 | Train 0.4864 | Val 0.4764 | Test 0.3470
Run 00 | Epoch 00056 | Loss 1.8436 | Train 0.4933 | Val 0.4830 | Test 0.3521
Run 00 | Epoch 00057 | Loss 1.8226 | Train 0.5000 | Val 0.4900 | Test 0.3573
Run 00 | Epoch 00058 | Loss 1.8010 | Train 0.5070 | Val 0.4972 | Test 0.3624
Run 00 | Epoch 00059 | Loss 1.7763 | Train 0.5137 | Val 0.5038 | Test 0.3676
Run 00 | Epoch 00060 | Loss 1.7463 | Train 0.5208 | Val 0.5100 | Test 0.3728
Run 00 | Epoch 00061 | Loss 1.7251 | Train 0.5277 | Val 0.5166 | Test 0.3780
Run 00 | Epoch 00062 | Loss 1.7003 | Train 0.5341 | Val 0.5226 | Test 0.3831
Run 00 | Epoch 00063 | Loss 1.6835 | Train 0.5406 | Val 0.5296 | Test 0.3881
Run 00 | Epoch 00064 | Loss 1.6595 | Train 0.5467 | Val 0.5360 | Test 0.3930
Run 00 | Epoch 00065 | Loss 1.6442 | Train 0.5524 | Val 0.5415 | Test 0.3976
Run 00 | Epoch 00066 | Loss 1.6199 | Train 0.5574 | Val 0.5466 | Test 0.4022
