main start at this time 1665984607.999917
-----------------------------------------before load data 
 Nvidia-smi: 0.30712890625 GB
    Memory Allocated: 0.0  GigaBytes
Max Memory Allocated: 0.0  GigaBytes

#nodes: 2449029
#edges: 123718024
#classes: 47
success----------------------------------------
196571
39255
2164782
# Nodes: 2400608
# Edges: 123718024
# Train: 196571
# Val: 39255
# Test: 2164782
# Classes: 47

in feats:  100
========    -------- the batch size current is  12289
Run 00 | Epoch 00000 | Loss 8.7847 | Train 0.0109 | Val 0.0112 | Test 0.0187
Run 00 | Epoch 00001 | Loss 8.3136 | Train 0.0113 | Val 0.0122 | Test 0.0192
Run 00 | Epoch 00002 | Loss 7.9572 | Train 0.0120 | Val 0.0128 | Test 0.0197
Run 00 | Epoch 00003 | Loss 7.4025 | Train 0.0127 | Val 0.0138 | Test 0.0203
Run 00 | Epoch 00004 | Loss 7.2386 | Train 0.0136 | Val 0.0148 | Test 0.0209
Run 00 | Epoch 00005 | Loss 6.9341 | Train 0.0146 | Val 0.0154 | Test 0.0216
Run 00 | Epoch 00006 | Loss 6.6910 | Train 0.0159 | Val 0.0169 | Test 0.0224
Run 00 | Epoch 00007 | Loss 6.2912 | Train 0.0172 | Val 0.0181 | Test 0.0233
Run 00 | Epoch 00008 | Loss 6.1225 | Train 0.0186 | Val 0.0195 | Test 0.0243
Run 00 | Epoch 00009 | Loss 5.9065 | Train 0.0203 | Val 0.0210 | Test 0.0254
Run 00 | Epoch 00010 | Loss 5.6675 | Train 0.0223 | Val 0.0228 | Test 0.0266
Run 00 | Epoch 00011 | Loss 5.5401 | Train 0.0244 | Val 0.0246 | Test 0.0280
Run 00 | Epoch 00012 | Loss 5.3241 | Train 0.0267 | Val 0.0265 | Test 0.0295
Run 00 | Epoch 00013 | Loss 5.2268 | Train 0.0293 | Val 0.0291 | Test 0.0312
Run 00 | Epoch 00014 | Loss 5.0731 | Train 0.0323 | Val 0.0316 | Test 0.0331
Run 00 | Epoch 00015 | Loss 4.9590 | Train 0.0350 | Val 0.0344 | Test 0.0351
Run 00 | Epoch 00016 | Loss 4.7792 | Train 0.0382 | Val 0.0382 | Test 0.0373
Run 00 | Epoch 00017 | Loss 4.5902 | Train 0.0416 | Val 0.0411 | Test 0.0395
Run 00 | Epoch 00018 | Loss 4.5857 | Train 0.0450 | Val 0.0445 | Test 0.0418
Run 00 | Epoch 00019 | Loss 4.4021 | Train 0.0487 | Val 0.0474 | Test 0.0444
Run 00 | Epoch 00020 | Loss 4.3832 | Train 0.0524 | Val 0.0508 | Test 0.0471
Run 00 | Epoch 00021 | Loss 4.2427 | Train 0.0568 | Val 0.0547 | Test 0.0499
Run 00 | Epoch 00022 | Loss 4.1370 | Train 0.0611 | Val 0.0585 | Test 0.0528
Run 00 | Epoch 00023 | Loss 4.0863 | Train 0.0655 | Val 0.0622 | Test 0.0558
Run 00 | Epoch 00024 | Loss 3.9908 | Train 0.0704 | Val 0.0667 | Test 0.0589
Run 00 | Epoch 00025 | Loss 3.8993 | Train 0.0754 | Val 0.0703 | Test 0.0621
Run 00 | Epoch 00026 | Loss 3.8611 | Train 0.0801 | Val 0.0743 | Test 0.0653
Run 00 | Epoch 00027 | Loss 3.7980 | Train 0.0848 | Val 0.0782 | Test 0.0686
Run 00 | Epoch 00028 | Loss 3.6778 | Train 0.0898 | Val 0.0833 | Test 0.0720
Run 00 | Epoch 00029 | Loss 3.6298 | Train 0.0951 | Val 0.0884 | Test 0.0754
Run 00 | Epoch 00030 | Loss 3.5751 | Train 0.1003 | Val 0.0935 | Test 0.0788
Run 00 | Epoch 00031 | Loss 3.5424 | Train 0.1054 | Val 0.0983 | Test 0.0824
Run 00 | Epoch 00032 | Loss 3.4937 | Train 0.1107 | Val 0.1030 | Test 0.0859
Run 00 | Epoch 00033 | Loss 3.4461 | Train 0.1160 | Val 0.1076 | Test 0.0895
Run 00 | Epoch 00034 | Loss 3.4356 | Train 0.1215 | Val 0.1130 | Test 0.0931
Run 00 | Epoch 00035 | Loss 3.3997 | Train 0.1270 | Val 0.1192 | Test 0.0968
Run 00 | Epoch 00036 | Loss 3.3452 | Train 0.1326 | Val 0.1252 | Test 0.1006
Run 00 | Epoch 00037 | Loss 3.2928 | Train 0.1385 | Val 0.1309 | Test 0.1045
Run 00 | Epoch 00038 | Loss 3.1900 | Train 0.1443 | Val 0.1373 | Test 0.1083
Run 00 | Epoch 00039 | Loss 3.1400 | Train 0.1504 | Val 0.1426 | Test 0.1123
Run 00 | Epoch 00040 | Loss 3.1546 | Train 0.1563 | Val 0.1478 | Test 0.1162
Run 00 | Epoch 00041 | Loss 3.0941 | Train 0.1625 | Val 0.1533 | Test 0.1201
Run 00 | Epoch 00042 | Loss 3.1064 | Train 0.1688 | Val 0.1594 | Test 0.1242
Run 00 | Epoch 00043 | Loss 3.0253 | Train 0.1754 | Val 0.1654 | Test 0.1283
Run 00 | Epoch 00044 | Loss 2.9800 | Train 0.1815 | Val 0.1715 | Test 0.1325
Run 00 | Epoch 00045 | Loss 2.9690 | Train 0.1880 | Val 0.1774 | Test 0.1368
Run 00 | Epoch 00046 | Loss 2.9347 | Train 0.1949 | Val 0.1841 | Test 0.1412
Run 00 | Epoch 00047 | Loss 2.9024 | Train 0.2015 | Val 0.1910 | Test 0.1457
Run 00 | Epoch 00048 | Loss 2.8895 | Train 0.2085 | Val 0.1970 | Test 0.1503
Run 00 | Epoch 00049 | Loss 2.8726 | Train 0.2154 | Val 0.2037 | Test 0.1549
Run 00 | Epoch 00050 | Loss 2.7947 | Train 0.2226 | Val 0.2106 | Test 0.1596
Run 00 | Epoch 00051 | Loss 2.7691 | Train 0.2296 | Val 0.2184 | Test 0.1643
Run 00 | Epoch 00052 | Loss 2.7617 | Train 0.2366 | Val 0.2256 | Test 0.1691
Run 00 | Epoch 00053 | Loss 2.7019 | Train 0.2439 | Val 0.2331 | Test 0.1741
Run 00 | Epoch 00054 | Loss 2.6769 | Train 0.2508 | Val 0.2402 | Test 0.1791
Run 00 | Epoch 00055 | Loss 2.7036 | Train 0.2578 | Val 0.2468 | Test 0.1841
Run 00 | Epoch 00056 | Loss 2.6309 | Train 0.2647 | Val 0.2544 | Test 0.1892
Run 00 | Epoch 00057 | Loss 2.6409 | Train 0.2718 | Val 0.2617 | Test 0.1942
Run 00 | Epoch 00058 | Loss 2.5812 | Train 0.2791 | Val 0.2693 | Test 0.1991
Run 00 | Epoch 00059 | Loss 2.5933 | Train 0.2859 | Val 0.2768 | Test 0.2040
Run 00 | Epoch 00060 | Loss 2.5555 | Train 0.2931 | Val 0.2834 | Test 0.2090
Run 00 | Epoch 00061 | Loss 2.5016 | Train 0.2998 | Val 0.2906 | Test 0.2140
Run 00 | Epoch 00062 | Loss 2.4410 | Train 0.3067 | Val 0.2975 | Test 0.2189
Run 00 | Epoch 00063 | Loss 2.4766 | Train 0.3134 | Val 0.3039 | Test 0.2238
Run 00 | Epoch 00064 | Loss 2.4128 | Train 0.3197 | Val 0.3110 | Test 0.2286
Run 00 | Epoch 00065 | Loss 2.4165 | Train 0.3262 | Val 0.3171 | Test 0.2335
Run 00 | Epoch 00066 | Loss 2.3913 | Train 0.3322 | Val 0.3238 | Test 0.2382
Run 00 | Epoch 00067 | Loss 2.3942 | Train 0.3383 | Val 0.3297 | Test 0.2429
Run 00 | Epoch 00068 | Loss 2.3321 | Train 0.3446 | Val 0.3364 | Test 0.2476
Run 00 | Epoch 00069 | Loss 2.3566 | Train 0.3507 | Val 0.3425 | Test 0.2522
Run 00 | Epoch 00070 | Loss 2.3340 | Train 0.3569 | Val 0.3487 | Test 0.2568
Run 00 | Epoch 00071 | Loss 2.3379 | Train 0.3627 | Val 0.3539 | Test 0.2615
Run 00 | Epoch 00072 | Loss 2.2768 | Train 0.3688 | Val 0.3601 | Test 0.2661
Run 00 | Epoch 00073 | Loss 2.2456 | Train 0.3747 | Val 0.3661 | Test 0.2707
Run 00 | Epoch 00074 | Loss 2.2033 | Train 0.3811 | Val 0.3714 | Test 0.2753
Run 00 | Epoch 00075 | Loss 2.2114 | Train 0.3869 | Val 0.3771 | Test 0.2797
Run 00 | Epoch 00076 | Loss 2.1778 | Train 0.3927 | Val 0.3828 | Test 0.2842
Run 00 | Epoch 00077 | Loss 2.1571 | Train 0.3987 | Val 0.3893 | Test 0.2888
Run 00 | Epoch 00078 | Loss 2.1289 | Train 0.4050 | Val 0.3958 | Test 0.2934
Run 00 | Epoch 00079 | Loss 2.1112 | Train 0.4117 | Val 0.4024 | Test 0.2979
Run 00 | Epoch 00080 | Loss 2.1277 | Train 0.4183 | Val 0.4088 | Test 0.3024
Run 00 | Epoch 00081 | Loss 2.0863 | Train 0.4252 | Val 0.4146 | Test 0.3069
Run 00 | Epoch 00082 | Loss 2.1001 | Train 0.4319 | Val 0.4209 | Test 0.3115
Run 00 | Epoch 00083 | Loss 2.0583 | Train 0.4387 | Val 0.4269 | Test 0.3162
Run 00 | Epoch 00084 | Loss 2.0055 | Train 0.4452 | Val 0.4332 | Test 0.3208
Run 00 | Epoch 00085 | Loss 2.0057 | Train 0.4513 | Val 0.4398 | Test 0.3253
Run 00 | Epoch 00086 | Loss 1.9935 | Train 0.4579 | Val 0.4460 | Test 0.3298
Run 00 | Epoch 00087 | Loss 1.9938 | Train 0.4639 | Val 0.4528 | Test 0.3342
Run 00 | Epoch 00088 | Loss 1.9636 | Train 0.4702 | Val 0.4589 | Test 0.3387
Run 00 | Epoch 00089 | Loss 1.9055 | Train 0.4761 | Val 0.4649 | Test 0.3430
Run 00 | Epoch 00090 | Loss 1.9393 | Train 0.4820 | Val 0.4704 | Test 0.3474
Run 00 | Epoch 00091 | Loss 1.9163 | Train 0.4879 | Val 0.4753 | Test 0.3516
Run 00 | Epoch 00092 | Loss 1.8729 | Train 0.4931 | Val 0.4811 | Test 0.3557
Run 00 | Epoch 00093 | Loss 1.8795 | Train 0.4981 | Val 0.4867 | Test 0.3596
Run 00 | Epoch 00094 | Loss 1.8455 | Train 0.5028 | Val 0.4909 | Test 0.3632
Run 00 | Epoch 00095 | Loss 1.8129 | Train 0.5070 | Val 0.4954 | Test 0.3669
Run 00 | Epoch 00096 | Loss 1.8330 | Train 0.5115 | Val 0.5003 | Test 0.3706
Run 00 | Epoch 00097 | Loss 1.8590 | Train 0.5155 | Val 0.5043 | Test 0.3739
Run 00 | Epoch 00098 | Loss 1.7800 | Train 0.5194 | Val 0.5080 | Test 0.3773
Run 00 | Epoch 00099 | Loss 1.7517 | Train 0.5233 | Val 0.5116 | Test 0.3805
