main start at this time 1666039302.9745002
-----------------------------------------before load data 
 Nvidia-smi: 0.30712890625 GB
    Memory Allocated: 0.0  GigaBytes
Max Memory Allocated: 0.0  GigaBytes

#nodes: 2449029
#edges: 123718024
#classes: 47
success----------------------------------------
196571
39255
2164782
# Nodes: 2400608
# Edges: 123718024
# Train: 196571
# Val: 39255
# Test: 2164782
# Classes: 47

in feats:  100
========    -------- the batch size current is  12286
Run 00 | Epoch 00000 | Loss 2.8689 | Train 0.1844 | Val 0.1768 | Test 0.1324
Run 00 | Epoch 00001 | Loss 2.1292 | Train 0.4426 | Val 0.4319 | Test 0.3134
Run 00 | Epoch 00002 | Loss 1.6184 | Train 0.5623 | Val 0.5512 | Test 0.4064
Run 00 | Epoch 00003 | Loss 1.2697 | Train 0.6117 | Val 0.6035 | Test 0.4553
Run 00 | Epoch 00004 | Loss 0.9803 | Train 0.6337 | Val 0.6264 | Test 0.4787
Run 00 | Epoch 00005 | Loss 0.8270 | Train 0.6542 | Val 0.6498 | Test 0.5000
Run 00 | Epoch 00006 | Loss 0.7328 | Train 0.6724 | Val 0.6688 | Test 0.5163
Run 00 | Epoch 00007 | Loss 0.6925 | Train 0.6896 | Val 0.6860 | Test 0.5298
Run 00 | Epoch 00008 | Loss 0.6650 | Train 0.7018 | Val 0.6944 | Test 0.5373
Run 00 | Epoch 00009 | Loss 0.6429 | Train 0.7127 | Val 0.7056 | Test 0.5460
Run 00 | Epoch 00010 | Loss 0.6005 | Train 0.7151 | Val 0.7088 | Test 0.5492
Run 00 | Epoch 00011 | Loss 0.5858 | Train 0.7145 | Val 0.7093 | Test 0.5491
Run 00 | Epoch 00012 | Loss 0.5647 | Train 0.7158 | Val 0.7100 | Test 0.5497
Run 00 | Epoch 00013 | Loss 0.5617 | Train 0.7187 | Val 0.7133 | Test 0.5539
Run 00 | Epoch 00014 | Loss 0.5346 | Train 0.7179 | Val 0.7133 | Test 0.5549
Run 00 | Epoch 00015 | Loss 0.5410 | Train 0.7169 | Val 0.7126 | Test 0.5545
Run 00 | Epoch 00016 | Loss 0.5163 | Train 0.7121 | Val 0.7087 | Test 0.5509
Run 00 | Epoch 00017 | Loss 0.4972 | Train 0.7158 | Val 0.7106 | Test 0.5544
Run 00 | Epoch 00018 | Loss 0.5139 | Train 0.7151 | Val 0.7092 | Test 0.5526
Run 00 | Epoch 00019 | Loss 0.5008 | Train 0.7127 | Val 0.7068 | Test 0.5517
Run 00 | Epoch 00020 | Loss 0.5166 | Train 0.7134 | Val 0.7078 | Test 0.5537
Run 00 | Epoch 00021 | Loss 0.4960 | Train 0.7102 | Val 0.7046 | Test 0.5535
Run 00 | Epoch 00022 | Loss 0.5024 | Train 0.7056 | Val 0.6992 | Test 0.5485
Run 00 | Epoch 00023 | Loss 0.4899 | Train 0.6938 | Val 0.6880 | Test 0.5410
Run 00 | Epoch 00024 | Loss 0.4806 | Train 0.6955 | Val 0.6902 | Test 0.5423
Run 00 | Epoch 00025 | Loss 0.4812 | Train 0.6989 | Val 0.6927 | Test 0.5460
Run 00 | Epoch 00026 | Loss 0.4729 | Train 0.6943 | Val 0.6866 | Test 0.5418
Run 00 | Epoch 00027 | Loss 0.4669 | Train 0.6888 | Val 0.6828 | Test 0.5400
Run 00 | Epoch 00028 | Loss 0.4697 | Train 0.6917 | Val 0.6859 | Test 0.5427
